path,dir,file,export_default,export_named,imports_count,imported_by_count,reachable_from_entry,is_test_or_story,is_config_like,is_orphan
/src/components/auth/MagicLinkForm.tsx,/src/components/auth,MagicLinkForm.tsx,False,MagicLinkForm,4,1,True,False,False,False
/src/components/auth/AuthPage.tsx,/src/components/auth,AuthPage.tsx,False,AuthPage,6,1,True,False,False,False
/src/components/auth/OrgSwitcher.tsx,/src/components/auth,OrgSwitcher.tsx,False,"OrgSwitcher,UserMenu",8,0,False,False,False,True
/src/components/auth/MultiTenantAuthProvider.tsx,/src/components/auth,MultiTenantAuthProvider.tsx,False,"MultiTenantAuthProvider,useMultiTenantAuth",2,24,True,False,False,False
/src/components/auth/OrgHierarchySwitcher.tsx,/src/components/auth,OrgHierarchySwitcher.tsx,False,OrgHierarchySwitcher,9,1,True,False,False,False
/src/components/onboarding/OnboardingProvider.tsx,/src/components/onboarding,OnboardingProvider.tsx,False,"OnboardingProvider,useOnboarding",1,3,True,False,False,False
/src/components/onboarding/OnboardingWizard.tsx,/src/components/onboarding,OnboardingWizard.tsx,False,OnboardingWizard,8,2,True,False,False,False
/src/components/portal/PortalProvider.tsx,/src/components/portal,PortalProvider.tsx,False,"PortalProvider,usePortal",2,21,True,False,False,False
/src/components/portal/PortalShell.tsx,/src/components/portal,PortalShell.tsx,False,PortalShell,7,1,True,False,False,False
/src/components/portal/PortalApp.tsx,/src/components/portal,PortalApp.tsx,False,PortalApp,24,1,True,False,False,False
/src/components/portal/InteractiveMap.tsx,/src/components/portal,InteractiveMap.tsx,False,InteractiveMap,3,1,True,False,False,False
/src/components/portal/WeatherWidget.tsx,/src/components/portal,WeatherWidget.tsx,False,WeatherWidget,2,1,True,False,False,False
/src/components/portal/ClassDetailModal.tsx,/src/components/portal,ClassDetailModal.tsx,False,ClassDetailModal,8,0,False,False,False,True
/src/components/portal/pages/HomePage.tsx,/src/components/portal/pages,HomePage.tsx,False,HomePage,7,1,True,False,False,False
/src/components/portal/pages/ExplorePage.tsx,/src/components/portal/pages,ExplorePage.tsx,False,ExplorePage,14,1,True,False,False,False
/src/components/portal/pages/StudiosPage.tsx,/src/components/portal/pages,StudiosPage.tsx,False,StudiosPage,9,1,True,False,False,False
/src/components/portal/pages/InstructorsPage.tsx,/src/components/portal/pages,InstructorsPage.tsx,False,InstructorsPage,7,1,True,False,False,False
/src/components/portal/pages/CheckoutPage.tsx,/src/components/portal/pages,CheckoutPage.tsx,False,CheckoutPage,11,1,True,False,False,False
/src/components/portal/pages/CityPage.tsx,/src/components/portal/pages,CityPage.tsx,False,CityPage,7,1,True,False,False,False
/src/components/portal/pages/OutdoorPage.tsx,/src/components/portal/pages,OutdoorPage.tsx,False,OutdoorPage,8,1,True,False,False,False
/src/components/portal/pages/CustomerOnboardingPage.tsx,/src/components/portal/pages,CustomerOnboardingPage.tsx,False,CustomerOnboardingPage,11,1,True,False,False,False
/src/components/portal/pages/SchedulePage.tsx,/src/components/portal/pages,SchedulePage.tsx,False,SchedulePage,8,1,True,False,False,False
/src/components/portal/pages/OnlineStudioPage.tsx,/src/components/portal/pages,OnlineStudioPage.tsx,False,OnlineStudioPage,8,1,True,False,False,False
